,,,UNIDAD SNASPE,TOTAL,CHILENOS,EXTRANJEROS
,,,P.N. ALERCE ANDINO,"26,632","23,211","3,421"
,,,P.N. CHILOÉ,"53,552","44,932","8,620"
,,,P.N. CORCOVADO,-,-,-
,,,P.N. HORNOPIRÉN,"1,072",803,269
,,,P.N. PUYEHUE,"153,020","132,421","20,599"
,,,P.N. VICENTE PÉREZ ROSALES,"546,411","387,760","158,651"
,,,R.N. FUTALEUFÚ,"2,423","1,965",458
,,,R.N. LAGO PALENA,-,-,-
,,,R.N. LLANQUIHUE,0,0,0
,,,XI AISÉN,"92,457","67,215","25,242"
,,,A.P. CERRO HUEMULES,446,445,1
,,,M.N. CINCO HERMANAS,-,-,-
,,,M.N. DOS LAGUNAS,"2,178","2,153",25
,,,P.N. ISLA GUAMBLIN,-,-,-
,,,P.N. ISLA MAGDALENA,-,-,-
,,,P.N. LAGUNA SAN RAFAEL,"7,725","5,752","1,973"
,,,P.N. QUEULAT,"37,357","27,790","9,567"
,,,R.N. CERRO CASTILLO,"5,149","3,752","1,397"
,,,R.N. COYHAIQUE,"21,670","19,505","2,165"
,,,R.N. KATALALIXAR,-,-,-
,,,R.N. LAGO CARLOTA,-,-,-
,,,R.N. LAGO COCHRANE,"3,615","2,827",788
,,,R.N. LAGO JEINIMENI,"2,560","2,106",454
,,,R.N. LAGO LAS TORRES,-,-,-
,,,R.N. LAGO ROSSELOT,-,-,-
,,,R.N. LAS GUAITECAS,-,-,-
,,,R.N. MAÑIHUALES,-,-,-
,,,R.N. RÍO SIMPSON,"11,686","2,814","8,872"
,,,R.N. TRAPANANDA,71,71,0
,,,XII MAGALLANES Y ANTÁRTICA CHILENA,"495,030","268,803","226,227"
,,,M.N. CUEVA DEL MILODÓN,"139,658","102,288","37,370"
,,,M.N. LAGUNA DE LOS CISNES,-,-,-
,,,M.N. LOS PINGÜINOS,"32,281","7,979","24,302"
,,,P.N. ALBERTO DE AGOSTINI,-,-,-
,,,P.N. BERNARDO O'HIGGINS,"36,003","20,663","15,340"
,,,P.N. CABO DE HORNOS,"10,407","2,787","7,620"
,,,P.N. PALI AIKE,"2,537","1,486","1,051"
,,,P.N. TORRES DEL PAINE,"252,447","115,522","136,925"
,,,R.N. ALACALUFES,"1,742",669,"1,073"
,,,R.N. LAGUNA PARRILLAR,"3,517","3,430",87
,,,R.N. MAGALLANES,"16,438","13,979","2,459"
,,,METROPOLITANA,"105,463","102,596","2,867"
,,,M.N. EL MORADO,"17,031","14,275","2,756"
,,,R.N. RIO CLARILLO,"88,432","88,321",111
